,mol_id,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
35560,gdb_35561,3.6862699999999995,1.25623,1.04607,4.9028,75.0,-0.2427,-0.0044,0.2383,1127.786,0.127047,-396.922125,-396.914787,-396.913842,-396.954247,27.494,-1623.9926644910001,-1633.608612407,-1642.497904901,-1514.282755985
35600,gdb_35601,2.63778,1.6852200000000002,1.23974,2.3423,78.75,-0.2265,0.0121,0.2385,1030.4712,0.137219,-380.817965,-380.810278,-380.809334,-380.850152,29.666999999999998,-1707.235498395,-1717.5216259229999,-1727.004541931,-1591.1890040070002
35640,gdb_35641,2.33777,1.6661,1.4310100000000001,2.8644,76.35,-0.2382,-0.0159,0.2223,986.676,0.12601600000000002,-396.89864500000004,-396.890712,-396.889768,-396.931196,30.04,-1609.258753171,-1618.5013332321,-1627.391253235,-1499.818046026
35680,gdb_35681,2.4007,1.4208399999999999,1.0776299999999999,0.6579999999999999,88.66,-0.2505,0.0471,0.2976,1208.7577,0.182309,-349.9036,-349.894854,-349.89391,-349.936948,34.248000000000005,-2057.837954384,-2071.0150158751003,-2082.8699159029998,-1916.394288239
35720,gdb_35721,2.46185,1.58902,1.1513,3.8524,68.5,-0.2686,0.0142,0.2828,1060.4868,0.12428099999999999,-437.846817,-437.838759,-437.83781500000003,-437.88011900000004,28.94,-1600.935473795,-1610.0996152310001,-1618.989535234,-1492.070192403
35760,gdb_35761,3.3713,1.37995,1.19201,4.876,75.33,-0.2186,0.0195,0.2382,1058.771,0.15153,-398.092456,-398.08521,-398.084266,-398.124114,28.872,-1730.5342800560002,-1741.9850642881,-1752.060976301,-1607.1622456020002
35800,gdb_35801,3.89876,1.25328,1.05019,5.5633,69.06,-0.2762,0.0128,0.289,1112.6778,0.125365,-437.867963,-437.86054800000005,-437.859604,-437.900032,28.284000000000002,-1614.204779109,-1623.772408832,-1632.662328835,-1504.56577912
35840,gdb_35841,3.29815,1.18846,0.90884,4.1831,85.33,-0.2337,-0.0413,0.1925,1251.3755,0.14993900000000002,-364.84173,-364.83371600000004,-364.83277200000003,-364.874828,30.508000000000003,-1870.752421124,-1881.7225334620002,-1891.798445475,-1748.900213468
35880,gdb_35881,2.2453,1.59487,1.11572,3.8883,73.75,-0.2747,0.0167,0.2914,1096.2755,0.124162,-400.72630699999996,-400.71776,-400.716816,-400.760204,30.778000000000002,-1661.9902169681,-1670.8481340121,-1679.738054015,-1553.754327103
35920,gdb_35921,3.13488,1.39391,1.07267,5.4809,72.4,-0.2506,0.0218,0.2724,1105.2292,0.13830699999999999,-417.995767,-417.988182,-417.987238,-418.027999,29.03,-1682.13200085,-1692.4815067870002,-1701.964422795,-1565.857720695
35960,gdb_35961,3.18891,1.10527,0.8934,1.2086,84.9,-0.2453,0.0552,0.3005,1333.4035,0.183472,-387.062158,-387.053323,-387.05237900000003,-387.095494,34.275999999999996,-2020.6586736431,-2033.7792593241,-2045.634159352,-1878.9514537179998
36000,gdb_36001,2.4917599999999998,1.0796,0.80661,4.3214,82.12,-0.2731,0.031,0.3041,1408.8789,0.145979,-364.779625,-364.770181,-364.76923700000003,-364.81458100000003,34.275,-1831.7809746791,-1841.8537491470001,-1851.92966116,-1711.094678745
36040,gdb_36041,3.90915,1.01695,0.90712,3.4671,75.46,-0.2812,0.0289,0.3101,1280.8189,0.146868,-401.926177,-401.91742999999997,-401.91648599999996,-401.960159,32.128,-1787.067820884,-1797.5773416160998,-1807.653253629,-1665.5143075120002
36080,gdb_36081,3.66371,1.18859,1.1096,0.6268,84.96,-0.2256,0.0135,0.2391,1162.1494,0.15925599999999998,-348.6876,-348.679685,-348.67874,-348.720123,31.929000000000002,-1922.638630298,-1934.5600462801,-1945.228326789,-1794.0482310001
36120,gdb_36121,4.07974,1.1365299999999998,1.0058200000000002,1.9712,77.71,-0.2455,-0.0007,0.2448,1187.0165,0.134774,-384.64427,-384.636216,-384.63527200000004,-384.677125,31.116999999999997,-1759.1154324791,-1769.1718917131,-1778.654807721,-1643.8483042691
36160,gdb_36161,4.23918,1.1401,1.11215,3.3539999999999996,74.96,-0.25,0.0238,0.2738,1116.1523,0.13734100000000002,-380.81627799999995,-380.808905,-380.807961,-380.848601,28.462,-1706.1768907120002,-1716.6600560660002,-1726.142972074,-1590.2157375479999
36200,gdb_36201,3.3306199999999997,1.18614,1.0452,3.3261,78.55,-0.2275,0.0273,0.2548,1190.5198,0.160379,-382.04470299999997,-382.036399,-382.03545499999996,-382.07854199999997,31.081,-1849.1730141231,-1860.8490740860998,-1871.5179821039999,-1720.7922028310998
36240,gdb_36241,4.35098,1.0916,1.0287600000000001,2.2422,80.64,-0.2399,0.057,0.2969,1197.9083,0.147786,-364.705417,-364.69773,-364.696786,-364.738007,30.241999999999997,-1785.2147868071,-1796.3900945881,-1806.4660066010001,-1663.0438045791
36280,gdb_36281,4.28555,1.07264,1.0094299999999998,1.6919,77.43,-0.2396,-0.0036,0.2361,1199.853,0.13537000000000002,-384.601605,-384.593947,-384.59300299999995,-384.634035,30.195999999999998,-1732.3427609941,-1742.6477137921,-1752.1306298,-1616.808941459
36320,gdb_36321,4.17108,1.09528,0.9532200000000001,3.7945,73.04,-0.2633,-0.0192,0.2441,1192.2689,0.125181,-400.747705,-400.740144,-400.7392,-400.780331,28.428,-1675.41765455,-1684.8942954679999,-1693.7842154710002,-1566.384200746
36360,gdb_36361,4.95434,0.7469100000000001,0.68874,2.2262,79.08,-0.2507,0.0481,0.2989,1602.1698,0.145885,-401.85709199999997,-401.847969,-401.847025,-401.892127,33.177,-1743.7163616191,-1753.9899389670002,-1764.06585098,-1622.8236152241
36400,gdb_36401,5.1466400000000005,0.78698,0.73805,3.404,76.82,-0.2711,0.0279,0.299,1503.5123,0.147204,-401.933089,-401.924593,-401.923648,-401.967043,31.461,-1791.405163092,-1802.0721885831,-1812.1474730870002,-1669.8340794679998
36440,gdb_36441,4.11278,1.06074,0.99577,4.9251,68.76,-0.2682,0.0311,0.2993,1189.1461,0.12458,-437.85028,-437.842575,-437.84163,-437.883354,28.201,-1603.1085374620002,-1612.494189575,-1621.383482069,-1494.100184018
36480,gdb_36481,3.85351,1.012,0.87989,0.812,87.3,-0.2527,0.0596,0.3123,1359.6286,0.183524,-349.927366,-349.918842,-349.917898,-349.96061000000003,33.667,-2072.7513332781,-2086.0677017671,-2097.922601795,-1931.242406197
36520,gdb_36521,3.9685300000000003,0.9758700000000001,0.8298,0.5669,77.8,-0.2378,0.0548,0.2926,1378.3355,0.158993,-422.98725,-422.978586,-422.977642,-423.020895,32.763000000000005,-1837.3199966221,-1848.7701533451002,-1859.4390613629998,-1708.9216150780999
36560,gdb_36561,2.66293,0.8664,0.6835100000000001,3.7209,81.23,-0.2775,0.011000000000000001,0.2885,1564.8564,0.121243,-363.55580299999997,-363.546036,-363.545092,-363.591144,34.724000000000004,-1691.6732751951001,-1699.7662587681,-1708.656178771,-1584.5995319981
36600,gdb_36601,5.0999300000000005,0.76389,0.7509,4.146,84.54,-0.3036,0.0385,0.3421,1544.2966,0.17214400000000002,-365.98571499999997,-365.977326,-365.976382,-366.01960499999996,31.758000000000003,-1960.761684575,-1973.2735865261,-1984.5354905489999,-1826.035502275
36640,gdb_36641,5.9183699999999995,0.78668,0.76667,1.4807,75.47,-0.2425,0.0249,0.2675,1474.6847,0.133665,-421.69743200000005,-421.689081,-421.688137,-421.731454,30.898000000000003,-1655.7992131741,-1665.668674726,-1675.151590734,-1541.008364295
36680,gdb_36681,3.37989,0.79888,0.68679,5.4125,70.78,-0.3159,-0.0187,0.2971,1539.8736,0.111795,-416.808902,-416.80009,-416.799145,-416.843828,30.365,-1565.215151479,-1573.0175983851002,-1581.313894874,-1464.002342342
36720,gdb_36721,5.36227,0.7316699999999999,0.68971,4.3863,73.65,-0.2644,0.0048,0.2692,1567.2529,0.13748,-418.039533,-418.031089,-418.030145,-418.073983,29.693,-1709.595559744,-1719.4060354501,-1728.8889514579998,-1594.713094551
36760,gdb_36761,6.547280000000001,0.49695,0.46458,1.5109,91.79,-0.248,-0.0289,0.2192,2206.7496,0.10796800000000001,-383.375904,-383.365973,-383.365029,-383.41186,34.421,-1591.055972099,-1598.1574914520002,-1606.45441545,-1491.10571107
36800,gdb_36801,8.45889,0.49200000000000005,0.48208999999999996,4.1265,78.13,-0.2447,0.0346,0.2792,2180.8543,0.158915,-419.184949,-419.17525,-419.174305,-419.221198,33.498000000000005,-1800.5027885739999,-1811.3028459729999,-1821.971126482,-1673.3782502999998
36840,gdb_36841,4.2968,0.98535,0.94347,3.0782,79.3,-0.2251,0.0811,0.3062,1310.4924,0.17181400000000002,-403.041978,-403.033977,-403.033033,-403.07554,30.625,-1859.391370679,-1872.1461186129998,-1883.4080226360002,-1724.203341755
36880,gdb_36881,4.322019999999999,0.9399799999999999,0.9126200000000001,1.6544,83.26,-0.2622,0.1007,0.3629,1371.7217,0.183659,-387.01162,-387.003628,-387.002684,-387.045143,31.064,-1988.945623801,-2002.595199569,-2014.4500995970002,-1847.355748059
36920,gdb_36921,4.80815,0.8041,0.75071,1.6033,85.01,-0.2371,0.0258,0.2629,1563.6796,0.183427,-387.079927,-387.0713,-387.070356,-387.114236,32.330999999999996,-2031.808881064,-2045.059988617,-2056.914888645,-1890.7122273960001
36960,gdb_36961,5.48948,0.54399,0.5210899999999999,1.7144,87.09,-0.2616,0.0944,0.35600000000000004,2157.0523,0.205094,-388.25806600000004,-388.248223,-388.247278,-388.294354,35.853,-2143.2500869011,-2157.5152489981,-2170.555513527,-1990.0243117721
37000,gdb_37001,3.35693,2.44808,2.15785,2.1827,74.99,-0.212,-0.0374,0.1746,722.3580000000001,0.127675,-363.50375,-363.498564,-363.497619,-363.532784,23.654,-1659.0095492181,-1669.9771515201,-1678.8664440139999,-1547.9781067581
37040,gdb_37041,2.6521,1.64842,1.35436,0.4586,88.26,-0.2259,0.0825,0.3084,1079.3609,0.20936300000000002,-351.149628,-351.141982,-351.141038,-351.181197,32.33,-2211.8801187220997,-2227.5245456011,-2240.565437639,-2055.9491522941003
37080,gdb_37081,2.95646,2.7603299999999997,2.4116,1.369,73.34,-0.2167,-0.1117,0.105,685.2128,0.114848,-379.486977,-379.481632,-379.480688,-379.516084,23.739,-1499.8801694171,-1509.858817535,-1518.1557415329999,-1395.271909081
37120,gdb_37121,3.68299,1.62281,1.5281799999999999,2.1611,69.52,-0.2077,0.0595,0.2672,907.765,0.13680799999999999,-421.728354,-421.721731,-421.72078700000003,-421.758966,27.526,-1675.2030464721,-1686.156843576,-1695.6397595839999,-1558.272391903
37160,gdb_37161,4.0769400000000005,1.8530900000000001,1.62642,2.9431,74.69,-0.2207,0.0735,0.2942,844.0742,0.139159,-380.711512,-380.705875,-380.704931,-380.741085,25.041,-1640.435282818,-1652.007803796,-1661.490719804,-1522.7484799039999
37200,gdb_37201,2.73061,2.06385,1.74647,1.2715,69.7,-0.2396,0.0499,0.2894,851.4367,0.136517,-421.71298600000006,-421.70636900000005,-421.705425,-421.743579,27.35,-1665.5594881601,-1676.517050318,-1685.999966326,-1548.61691092
37240,gdb_37241,3.42129,1.5172299999999999,1.35934,1.7642,78.14,-0.2369,0.0665,0.3035,1005.6522,0.160142,-385.810004,-385.802919,-385.801975,-385.841282,29.354,-1862.7723891710998,-1875.2140101141001,-1885.8829181320002,-1733.1447174961
37280,gdb_37281,4.27935,1.52813,1.47766,1.7530000000000001,77.24,-0.2295,0.0953,0.3248,945.7822,0.16328900000000002,-385.848863,-385.842811,-385.841867,-385.878848,26.714000000000002,-1887.1567614020998,-1900.2465991421,-1910.91550716,-1756.7177205901
37320,gdb_37321,2.36731,2.31803,1.50635,2.9743,73.67,-0.2416,0.0599,0.3015,908.0457,0.15099200000000002,-401.89457799999997,-401.888081,-401.887137,-401.925127,27.544,-1767.2391639931,-1779.160579975,-1789.236491988,-1643.531412224
37360,gdb_37361,2.7295599999999998,1.7940099999999999,1.55325,1.972,79.15,-0.251,0.08,0.331,963.8365,0.187431,-387.102109,-387.095426,-387.09448199999997,-387.132668,28.985,-2045.7282857020002,-2060.1992707511,-2072.054170779,-1902.2784732841
37400,gdb_37401,2.89909,2.22532,1.79453,1.8747,69.07,-0.2252,0.0592,0.2844,811.5429,0.140778,-417.921466,-417.915789,-417.914845,-417.951141,25.039,-1635.5074546411,-1647.05424775,-1656.537163758,-1517.628633973
37440,gdb_37441,2.47168,1.88982,1.85864,1.5211,79.6,-0.2373,0.0793,0.3166,923.0226,0.187451,-387.092596,-387.085869,-387.084924,-387.123176,29.098000000000003,-2039.7587925851,-2054.2021672381,-2066.056439757,-1896.3221578561
37480,gdb_37481,2.90516,1.7360400000000002,1.42228,1.9264,73.83,-0.2016,0.0738,0.2755,967.6852,0.163494,-419.143047,-419.136058,-419.135113,-419.174338,28.551,-1774.2089064560998,-1786.7095132451002,-1797.3777937539999,-1643.97317856
37520,gdb_37521,3.4413400000000003,1.8574099999999998,1.61667,0.1066,84.16,-0.2602,0.0915,0.3517,919.7175,0.187953,-349.943245,-349.937179,-349.936235,-349.973274,27.148000000000003,-2082.715548689,-2097.5743343001,-2109.429234328,-1939.1891801730999
37560,gdb_37561,3.7505,1.60762,1.39165,1.6617,79.26,-0.2409,0.091,0.3319,967.0724,0.161649,-385.79053799999997,-385.78391600000003,-385.782971,-385.82145,27.455,-1850.5572989771,-1863.2894565871,-1873.957737096,-1720.6999590081
37600,gdb_37601,2.8622900000000002,2.34861,2.02972,1.7885,72.22,-0.2228,0.0841,0.307,788.5993,0.153072,-401.93209900000005,-401.926712,-401.925768,-401.961461,24.438000000000002,-1790.783929182,-1803.4018801539999,-1813.4777921670002,-1666.33132423
37640,gdb_37641,3.21875,2.33144,2.06947,1.7089,75.72,-0.2091,0.0789,0.28800000000000003,772.5659,0.152394,-364.741473,-364.7362,-364.735256,-364.770663,24.234,-1807.840251311,-1820.5303658180999,-1830.6062778310002,-1683.5357384831
37680,gdb_37681,3.06615,2.4184900000000003,2.07583,1.4713,71.43,-0.2217,0.0811,0.3028,756.5362,0.140548,-384.655671,-384.650556,-384.649612,-384.684766,23.647,-1766.2696625879998,-1778.1703707730999,-1787.6532867810001,-1648.6431005379998
37720,gdb_37721,2.9915599999999998,1.99983,1.61689,0.0833,84.2,-0.2424,0.0901,0.3324,922.4184,0.18820699999999999,-349.94106,-349.934754,-349.933809,-349.971604,27.595,-2081.344441524,-2096.0526249751,-2107.906897494,-1938.1412401431
37760,gdb_37761,3.11269,1.74272,1.18125,2.0979,67.67,-0.2312,-0.0491,0.182,966.9014,0.102144,-436.70376799999997,-436.697139,-436.69619500000005,-436.73498499999994,25.549,-1511.5135587681,-1519.7973050771,-1527.50123307,-1414.7108828829998
37800,gdb_37801,2.44387,2.17023,1.69977,2.028,72.92,-0.2431,0.0764,0.3195,887.2554,0.163667,-423.02180400000003,-423.015385,-423.01444100000003,-423.052233,27.404,-1859.0029426079998,-1871.8618570360002,-1882.5307650539999,-1728.5864921201
37840,gdb_37841,3.08555,2.29288,1.6935099999999998,1.8816,81.43,-0.205,-0.0387,0.1663,836.1845,0.150273,-364.651251,-364.645335,-364.64439100000004,-364.680936,26.394000000000002,-1751.225134313,-1763.511760533,-1773.587672546,-1627.23123844
37880,gdb_37881,2.96034,2.2365,2.1528,0.9241,71.8,-0.2298,0.0662,0.2959,777.9622,0.153001,-401.909902,-401.904625,-401.903681,-401.939164,24.136999999999997,-1776.8551119091,-1789.542088871,-1799.618000884,-1652.3397560570002
37920,gdb_37921,3.2828,1.7630099999999997,1.32194,0.3194,69.1,-0.2473,0.0211,0.2684,931.9643,0.126664,-437.81262300000003,-437.806213,-437.80526900000007,-437.84348600000004,25.715,-1579.478431049,-1589.6767073170001,-1598.56662732,-1469.082655206
37960,gdb_37961,2.4125900000000002,1.82807,1.31998,0.1455,87.71,-0.2435,0.0799,0.3234,1071.5641,0.210287,-351.142961,-351.13558900000004,-351.13464500000003,-351.174235,31.48,-2207.6965162191,-2223.5128805641,-2236.553772602,-2051.5804346360997
38000,gdb_38001,3.4271199999999995,1.9254200000000001,1.5803399999999999,3.5415,72.58,-0.2191,-0.0332,0.1859,853.1282,0.125398,-400.627906,-400.62176,-400.620816,-400.658056,26.141,-1600.242703859,-1610.607270012,-1619.497190015,-1489.6555377710001
38040,gdb_38041,3.6048,1.53413,1.23395,2.5813,76.55,-0.2294,0.0027,0.2321,1013.76,0.151145,-401.91934399999997,-401.912545,-401.91160099999996,-401.95052999999996,27.478,-1782.7800518871,-1794.5119601510999,-1804.587872164,-1659.4720233510998
38080,gdb_38081,2.46203,1.7926,1.55334,2.7119999999999997,78.61,-0.2092,-0.0475,0.1617,943.4689999999999,0.138274,-384.701605,-384.69455,-384.693605,-384.73294,28.209,-1795.093660994,-1805.7770017191,-1815.259290218,-1678.8727191041
38120,gdb_38121,2.58747,2.29949,1.6373,1.5814,71.85,-0.2296,-0.0036,0.2261,859.447,0.138443,-421.79038099999997,-421.784054,-421.78310899999997,-421.82063700000003,26.839000000000002,-1714.1255472151001,-1725.2650869831,-1734.7473754820999,-1596.971499442
38160,gdb_38161,2.41381,2.17658,1.44628,2.5191,79.31,-0.2502,0.0041,0.2543,942.5813,0.161456,-385.841396,-385.834571,-385.833627,-385.872101,29.039,-1882.4711516989998,-1895.075924982,-1905.7448329999997,-1752.4839173670002
38200,gdb_38201,3.26818,1.79777,1.4635,1.5197,79.59,-0.2336,0.01,0.2436,936.7367,0.162656,-385.865133,-385.858763,-385.857819,-385.895421,27.764,-1897.3663328321,-1910.2566227101001,-1920.9255307279998,-1767.1174272470998
38240,gdb_38241,3.09965,1.73217,1.3965,2.1408,80.12,-0.2286,0.0147,0.2433,970.4463,0.161486,-385.82662400000004,-385.819819,-385.818875,-385.85742400000004,28.758000000000003,-1873.2015887510001,-1885.818912214,-1896.487820232,-1743.2739677739999
38280,gdb_38281,3.5747699999999996,1.4308,1.24029,0.0749,88.17,-0.1988,0.0316,0.2305,1096.5919,0.186625,-349.933273,-349.926186,-349.92524199999997,-349.964792,29.241999999999997,-2076.458028941,-2090.6761278629997,-2102.531027891,-1933.866648835
38320,gdb_38321,3.59001,1.68655,1.4916200000000002,0.5993,65.76,-0.2481,0.0743,0.3224,900.0906,0.13911800000000002,-458.93294699999996,-458.92667800000004,-458.925734,-458.963561,25.528000000000002,-1666.9111425460999,-1678.0864503271,-1687.569366335,-1549.7257193231
38360,gdb_38361,2.29848,2.02624,1.38247,2.248,78.59,-0.244,0.0108,0.2548,993.9861,0.173881,-403.135327,-403.127907,-403.126963,-403.16692,30.076,-1917.9687083201002,-1931.088038983,-1942.349943006,-1781.545114175
38400,gdb_38401,4.0776,1.2827,1.26738,2.0854,74.81,-0.2354,0.0771,0.3125,1046.5075,0.148317,-401.852288,-401.845217,-401.844273,-401.883762,28.483,-1740.7018083829998,-1752.2630341991,-1762.338946212,-1617.5745024389998
38440,gdb_38441,3.94844,1.3155299999999999,1.20593,1.6966,81.03,-0.2269,0.0125,0.2394,1090.2177,0.160398,-385.859818,-385.852442,-385.851498,-385.891771,29.705,-1894.0311224971,-1906.290138321,-1916.959046339,-1764.8270193970002
38480,gdb_38481,3.56796,1.7088900000000002,1.53667,2.734,75.2,-0.2238,0.0635,0.2873,906.4726,0.150444,-401.827017,-401.820849,-401.819905,-401.857128,26.713,-1724.8440284441,-1736.9718948871,-1747.0478069000003,-1600.8614277329998
38520,gdb_38521,2.98867,2.09745,1.4913399999999999,2.2415,76.35,-0.2087,-0.0043,0.2044,894.2256,0.15115699999999999,-398.062258,-398.055781,-398.054837,-398.092752,27.316999999999997,-1711.584763274,-1723.5181019271,-1733.59401394,-1587.4823083439999
38560,gdb_38561,3.5935599999999996,2.06065,1.7305099999999998,1.6127,74.38,-0.2179,0.0,0.2179,817.0687,0.138771,-384.60377,-384.598156,-384.597212,-384.63322999999997,25.388,-1733.701317979,-1745.288899173,-1754.771815181,-1616.3037967139999
38600,gdb_38601,3.5435300000000005,1.69783,1.44369,1.7657,77.91,-0.2581,0.0838,0.3419,945.2898,0.162904,-385.836469,-385.830248,-385.829303,-385.866737,26.849,-1879.3794148560999,-1892.3632035751,-1903.0314840839999,-1749.1179590911
38640,gdb_38641,2.99522,2.14728,1.8289799999999998,1.8627,69.75,-0.2418,0.0003,0.2422,812.9786,0.140561,-421.841751,-421.836071,-421.83512699999994,-421.87146900000005,24.778000000000002,-1746.3606845451002,-1757.9062226360998,-1767.389138644,-1628.86903693
38680,gdb_38681,2.8547599999999997,1.87182,1.47961,1.4356,74.45,-0.231,0.0767,0.3077,941.7249,0.16078299999999998,-422.97657000000004,-422.969542,-422.968597,-423.00784500000003,29.125,-1830.6182005020999,-1843.0949619491,-1853.763242458,-1700.7326226281
38720,gdb_38721,2.5550599999999997,2.02624,1.5813700000000002,0.8416,77.24,-0.2296,0.0804,0.3101,925.7549,0.175008,-403.109306,-403.102569,-403.101625,-403.13989,29.015,-1901.640296631,-1915.1882159410998,-1926.450119964,-1764.583545905
38760,gdb_38761,2.28341,2.22384,1.7799200000000002,1.7185,79.4,-0.2368,0.0785,0.3153,911.4011,0.18778599999999998,-387.110648,-387.10416499999997,-387.10322,-387.141061,28.245,-2051.0865850531,-2065.6830719021,-2077.537344421,-1907.5451563210001
38800,gdb_38801,3.12995,2.21178,1.8133,0.7490000000000001,73.52,-0.2084,0.0698,0.2782,818.6818,0.151472,-401.87051,-401.86476,-401.86381600000004,-401.900218,25.326,-1752.1362773811,-1764.526442586,-1774.602354599,-1627.9007905429999
38840,gdb_38841,2.64474,1.99055,1.7251900000000002,2.5394,72.47,-0.2375,0.0786,0.3161,889.709,0.163207,-423.020488,-423.01401,-423.01306600000004,-423.05101500000006,27.645,-1858.1771407641,-1870.999032161,-1881.667940179,-1727.8221861581
38880,gdb_38881,2.76097,2.13274,1.93573,0.237,72.27,-0.2351,0.0904,0.3255,838.0454,0.164401,-423.03717300000005,-423.031304,-423.03036,-423.06697199999996,26.169,-1868.6471284291001,-1881.851172807,-1892.520080825,-1737.8353472710999
38920,gdb_38921,3.17372,1.7669099999999998,1.2643,1.4722,74.9,-0.2302,-0.0035,0.2267,974.9942,0.137037,-421.786797,-421.77992699999993,-421.778983,-421.817875,27.8,-1711.876554959,-1722.6753573401002,-1732.158273348,-1595.238319584
38960,gdb_38961,3.0286,1.7526099999999998,1.44951,0.8981,73.33,-0.2392,0.0825,0.3217,956.2775,0.161992,-423.01831699999997,-423.01134800000005,-423.010404,-423.049759,28.2,-1856.8148187251002,-1869.3286032029998,-1879.997511221,-1727.0340348541001
39000,gdb_39001,2.78361,2.14997,1.48285,0.584,86.06,-0.1996,0.002,0.2017,923.2678,0.162333,-348.7139,-348.70736400000004,-348.70642000000004,-348.744297,28.023000000000003,-1939.1421169981,-1951.9288678910998,-1962.597775909,-1809.2176335661
39040,gdb_39041,2.4626900000000003,2.16977,1.4536,1.8132,79.55,-0.2192,-0.0005,0.2186,942.795,0.16163,-385.835644,-385.828829,-385.82788500000004,-385.866244,29.193,-1878.8617199310997,-1891.4727683041,-1902.1416763220002,-1748.8085971541
39080,gdb_39081,3.52684,1.76647,1.52395,1.649,73.91,-0.2459,0.0088,0.2546,903.8106,0.151874,-401.935244,-401.929106,-401.928161,-401.965338,26.403000000000002,-1792.757444987,-1804.9041367001,-1814.979421204,-1668.764176623
39120,gdb_39121,3.77639,1.08986,1.0194,1.8762,78.85,-0.2276,0.0713,0.2989,1238.4331,0.172233,-403.075991,-403.06785,-403.066906,-403.10981200000003,30.723000000000003,-1880.7348342960001,-1893.4017309701,-1904.663634993,-1745.7093302029998
39160,gdb_39161,3.09979,1.68419,1.25516,1.4041,81.55,-0.2128,0.0186,0.2314,1024.9797,0.161674,-385.882834,-385.87568500000003,-385.87474100000003,-385.91423599999996,29.103,-1908.4738696410998,-1920.8753300079998,-1931.5442380260001,-1778.924009082
39200,gdb_39201,2.71844,2.23358,1.8849,2.3565,70.25,-0.2327,-0.0065,0.2262,812.0611,0.13969700000000002,-421.800209,-421.79434699999996,-421.793403,-421.83005,25.322,-1720.2927056670999,-1731.7240371201,-1741.206953128,-1602.8782416591
39240,gdb_39241,2.96141,1.6946599999999998,1.24991,0.8828,74.6,-0.2259,0.0765,0.3024,1022.5894,0.160824,-422.975996,-422.968742,-422.9677980000001,-423.00737300000003,29.79,-1830.2580103361,-1842.5929547491,-1853.2618627670001,-1700.43643838
39280,gdb_39281,2.48525,2.25703,1.58891,0.7979999999999999,66.08,-0.2626,0.0589,0.3214,864.9932,0.138622,-458.91571,-458.909401,-458.90845599999994,-458.946018,26.671999999999997,-1656.0947699131,-1667.2449773341,-1676.7272658330999,-1538.7173289360999
39320,gdb_39321,2.9085799999999997,1.7753299999999999,1.33121,2.3048,74.45,-0.2484,0.079,0.3274,990.6587,0.16159300000000001,-422.999111,-422.99207,-422.99112599999995,-423.03048099999995,28.538,-1844.7628808711,-1857.231484701,-1867.9003927191,-1714.936916352
39360,gdb_39361,2.82713,1.7784799999999998,1.26321,1.7737,81.65,-0.2302,0.0029,0.2331,1029.2954,0.160908,-385.87363799999997,-385.86632599999996,-385.865381,-385.905047,29.77,-1902.7032968771,-1915.002473277,-1925.670753786,-1773.1578288810001
39400,gdb_39401,2.35118,2.08648,1.7137200000000001,1.2724,80.29,-0.2369,0.0785,0.3154,931.2664,0.186682,-387.05786800000004,-387.051037,-387.050093,-387.08865299999997,29.177,-2017.966660033,-2032.3447737501,-2044.1996737779998,-1874.6586646491
39440,gdb_39441,2.5499400000000003,2.04429,1.37789,0.5797,67.17,-0.2342,0.0643,0.2985,933.9552,0.13730699999999998,-458.91180099999997,-458.90490199999994,-458.90395700000005,-458.94295999999997,27.643,-1653.6418372321,-1664.4218143429998,-1673.9041028420002,-1536.7984064139998
39480,gdb_39481,2.59306,1.79981,1.1921,1.0329,72.79,-0.2426,-0.005,0.2376,1030.475,0.149448,-439.05821299999997,-439.050781,-439.049837,-439.089931,29.293000000000003,-1733.2457464451002,-1744.579814003,-1754.6557260160998,-1610.015529025
39520,gdb_39521,3.05999,1.8979099999999998,1.54213,1.1543,75.67,-0.2356,-0.0097,0.2259,900.0442,0.150988,-401.89595299999996,-401.88945,-401.888506,-401.926469,27.129,-1768.1019888681,-1780.019639796,-1790.095551809,-1644.3735293020002
39560,gdb_39561,2.6981599999999997,2.0779400000000003,1.63555,0.2292,82.65,-0.2197,0.02,0.2398,900.7476,0.163381,-348.760712,-348.754294,-348.75335,-348.79104900000004,27.796,-1968.5170683060999,-1981.3778652611,-1992.046773279,-1838.5549343339999
39600,gdb_39601,3.38769,1.50799,1.10723,0.7669,71.32,-0.2539,0.0103,0.2642,1061.3539,0.151545,-439.09133899999995,-439.084545,-439.083601,-439.12239800000003,27.406,-1754.0326095789999,-1765.767027879,-1775.8429398920002,-1630.388863728
39640,gdb_39641,4.19029,0.93489,0.87713,1.8114,85.26,-0.2314,0.0213,0.2528,1401.7227,0.18440499999999999,-387.083117,-387.07464300000004,-387.07369900000003,-387.117509,31.403000000000002,-2033.8106347741,-2047.1577512039999,-2059.0126512320003,-1892.7660643529998
39680,gdb_39681,4.048109999999999,1.05112,0.90689,0.9277,78.82,-0.2491,0.0907,0.3398,1341.818,0.183819,-424.21568099999996,-424.207075,-424.20613099999997,-424.250371,31.474,-1980.3198850871,-1993.58354282,-2005.4384428481,-1839.206288676
39720,gdb_39721,5.1557900000000005,1.35188,1.2397,1.7522,76.5,-0.2223,0.0016,0.2239,1007.9845,0.137122,-384.601918,-384.595508,-384.594564,-384.632394,27.031,-1732.5391713110998,-1743.6272553411,-1753.110171349,-1615.77919919
